CATEGORY,DISTRICT,LAT,LNG,NAME,POSTCODE,ROAD
Residences,MAAFANNU,4.174138317,73.50571811,A D REED,20276,NASEEMEE HINGUN
Residences,HENVEIRU,4.170869345,73.51594806,A D VILLA,20054,AMEENEE MAGU
Residences,HENVEIRU,4.176866909,73.51562083,A M HOUSE,20030,ROASHANEE MAGU
Retail Outlets and Supermarkets,MAAFANNU,4.179477787,73.5101518,A RASHEED FIHAARA,20182,MOHAMED ISMAIL DIDI GOALHI
Retail Outlets and Supermarkets,MAAFANNU,4.179619566,73.50976288,A S STORE,20187,MOHAMED ISMAIL DIDI GOALHI
Residences,MAAFANNU,4.176171386,73.5052675,AA ALIMAS,20289,MUNIYAA MAGU
Residences,GALOLHU,4.171096729,73.51379961,AABAADHEE,20093,AMEENEE MAGU
Residences,HENVEIRU,4.174924795,73.51473838,AABAADHU,20070,SOSUN MAGU
Residences,MAAFANNU,4.177928917,73.50989968,AABAGEECHAA,20191,FAREEDHEE MAGU
Residences,MAAFANNU,4.178421131,73.51008475,AABIDHAA MANZIL,20190,DHANBU GOALHI
Residences,GALOLHU,4.172380778,73.51334363,AABIN,20107,LONUZIYAARAIY MAGU
Residences,GALOLHU,4.172511858,73.51128906,AABUHAVAA,20134,LONUZIYAARAIY MAGU
Residences,MACHCHANGOLHI,4.172402179,73.50848615,AADHAIGE,20177,NIKAGAS HINGUN
Residences,MAAFANNU,4.175454463,73.50664347,AADHILLEEGE,20259,MAJEEDHEE MAGU
Residences,HENVEIRU,4.175248481,73.51646304,AADHUNI,20034,ASRAFEE MAGU
Residences,GALOLHU,4.174523531,73.51189792,AAFAADU,20119,ALIKILEGEFAANU MAGU
Residences,MACHCHANGOLHI,4.172169445,73.50929618,AAFALGE,20168,BURUZU MAGU
Residences,GALOLHU,4.172808794,73.51391494,AAFATHIS,20091,DHOOHIMERI MAGU
Residences,GALOLHU,4.172140019,73.5139659,AAFEHI,20092,KASHIMAA HINGUN
Residences,MAAFANNU,4.17855756,73.50969315,AAFINI,20189,DHANBU GOALHI
Residences,HENVEIRU,4.175574842,73.51642549,AAGADHAGE,20035,VIOLET MAGU
Residences,HENVEIRU,4.176224888,73.51722479,AAGARAA HOUSE,20013,GALADHUN GOALHI
Residences,MAAFANNU,4.173771829,73.50275964,AAGARAAGE,20340,BLUEKIYA  MAGU
Residences,GALOLHU,4.176840157,73.51206154,AAGAS,20128,LILY MAGU
Residences,MACHCHANGOLHI,4.172370078,73.50682318,AAGISAA MANZIL,20240,BURUZU MAGU
Residences,HENVEIRU,4.176067058,73.51626992,AAGULSHAN,20032,HIRUNDHU MAGU
Residences,HENVEIRU,4.176093809,73.51676613,AAHAMA,20016,ASRAFEE MAGU
Residences,GALOLHU,4.175922603,73.512142,AAHETHI,20129,ALIKILEGEFAANU MAGU
Residences,MACHCHANGOLHI,4.174742888,73.50898241,AAHIYAA,20173,CHAANDHANEE MAGU
Residences,MACHCHANGOLHI,4.174536906,73.50901723,AAHIYAA GULSHAN,20173,CHAANDHANEE MAGU
Residences,MACHCHANGOLHI,4.174510155,73.50904942,AAHIYAA IRUMATHEEBAI,20173,CHAANDHANEE MAGU
Residences,MACHCHANGOLHI,4.174999697,73.50858539,AAHIYAA VILLA,20197,KUDHEENAA GOALHI
Government Offices,MAAFANNU,4.178418456,73.50840032,AAILAA AAI BEHEY COURT,20212,ORCHID MAGU
Residences,MACHCHANGOLHI,4.172546635,73.50657642,AAISHAA,20247,BADIFASGANDU HINGUN
